timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-03-12 10:14:13.756989,-0.022,-0.019,0.695,-0.473,-0.534,5.699
2025-03-12 10:14:13.808193,-0.010,-0.010,0.706,-0.465,-0.549,5.821
2025-03-12 10:14:13.859724,-0.020,-0.015,0.693,-0.519,-0.381,5.722
2025-03-12 10:14:13.911717,-0.009,-0.010,0.707,-0.549,-0.565,5.852
2025-03-12 10:14:13.963932,-0.021,-0.017,0.693,-0.664,-0.511,5.760
2025-03-12 10:14:14.015789,-0.021,-0.013,0.694,-0.519,-0.427,5.936
2025-03-12 10:14:14.067864,-0.010,-0.014,0.696,-0.534,-0.496,5.783
2025-03-12 10:14:14.119379,-0.011,-0.014,0.707,-0.572,-0.412,5.707
2025-03-12 10:14:14.172009,-0.025,-0.010,0.705,-0.557,-0.595,5.631
2025-03-12 10:14:14.223924,-0.007,-0.008,0.695,-0.488,-0.496,5.783
2025-03-12 10:14:14.275914,-0.008,-0.010,0.704,-0.572,-0.664,5.859
2025-03-12 10:14:14.327904,-0.019,-0.021,0.700,-0.710,-0.702,5.737
2025-03-12 10:14:14.380213,-0.011,-0.020,0.702,-0.473,-0.610,5.951
2025-03-12 10:14:14.431913,-0.014,-0.011,0.698,-0.473,-0.511,5.760
2025-03-12 10:14:14.483783,-0.019,-0.017,0.698,-0.351,-0.595,5.768
2025-03-12 10:14:14.535943,-0.019,-0.019,0.701,-0.587,-0.435,5.661
2025-03-12 10:14:14.587992,-0.008,-0.013,0.704,-0.496,-0.351,6.058
2025-03-12 10:14:14.639776,-0.017,-0.017,0.704,-0.427,-0.534,5.776
2025-03-12 10:14:14.692275,-0.012,-0.018,0.703,-0.687,-0.549,5.852
2025-03-12 10:14:14.743723,-0.018,-0.010,0.708,-0.626,-0.473,5.768
2025-03-12 10:14:14.795832,-0.020,-0.014,0.695,-0.420,-0.687,5.921
2025-03-12 10:14:14.848902,-0.018,-0.019,0.695,-0.656,-0.565,5.737
2025-03-12 10:14:14.900814,-0.006,-0.013,0.700,-0.572,-0.542,5.882
2025-03-12 10:14:14.953638,-0.022,-0.018,0.695,-0.336,-0.511,5.722
2025-03-12 10:14:15.005588,-0.008,-0.013,0.701,-0.748,-0.633,5.737
2025-03-12 10:14:15.057835,-0.018,-0.014,0.708,-0.542,-0.381,5.936
2025-03-12 10:14:15.109789,-0.021,-0.013,0.702,-0.465,-0.534,5.821
2025-03-12 10:14:15.161987,-0.014,-0.020,0.698,-0.587,-0.557,5.821
2025-03-12 10:14:15.213818,-0.009,-0.016,0.712,-0.313,-0.366,5.829
2025-03-12 10:14:15.265753,-0.013,-0.018,0.702,-0.465,-0.565,5.898
2025-03-12 10:14:15.317894,-0.011,-0.008,0.704,-0.351,-0.610,5.783
2025-03-12 10:14:15.370433,-0.005,-0.008,0.699,-0.427,-0.587,5.966
2025-03-12 10:14:15.422800,-0.018,-0.011,0.693,-0.565,-0.572,5.783
2025-03-12 10:14:15.475089,-0.007,-0.014,0.699,-0.572,-0.626,5.844
2025-03-12 10:14:15.527474,-0.009,-0.010,0.700,-0.603,-0.717,5.684
2025-03-12 10:14:15.578764,-0.021,-0.016,0.697,-0.427,-0.526,5.722
2025-03-12 10:14:15.631162,-0.024,-0.017,0.689,-0.427,-0.504,5.653
2025-03-12 10:14:15.682286,-0.009,-0.011,0.694,-0.435,-0.679,5.776
2025-03-12 10:14:15.733747,-0.021,-0.016,0.701,-0.473,-0.473,5.852
2025-03-12 10:14:15.785809,-0.013,-0.017,0.712,-0.526,-0.572,5.776
2025-03-12 10:14:15.837843,-0.013,-0.010,0.710,-0.671,-0.298,5.875
2025-03-12 10:14:15.889628,-0.009,-0.009,0.703,-0.450,-0.427,5.798
2025-03-12 10:14:15.942059,-0.023,-0.012,0.708,-0.687,-0.702,5.715
2025-03-12 10:14:15.993922,-0.011,-0.013,0.695,-0.435,-0.374,5.776
2025-03-12 10:14:16.045756,-0.015,-0.012,0.697,-0.389,-0.443,5.760
2025-03-12 10:14:16.097531,-0.009,-0.015,0.699,-0.404,-0.473,5.837
2025-03-12 10:14:16.148456,-0.016,-0.010,0.708,-0.443,-0.565,5.638
2025-03-12 10:14:16.200542,-0.014,-0.008,0.695,-0.618,-0.572,5.921
2025-03-12 10:14:16.252139,-0.019,-0.021,0.703,-0.427,-0.549,5.715
2025-03-12 10:14:16.304081,-0.011,-0.013,0.696,-0.465,-0.366,5.768
2025-03-12 10:14:16.356359,-0.020,-0.016,0.706,-0.603,-0.671,5.814
2025-03-12 10:14:16.408960,-0.016,-0.013,0.707,-0.534,-0.664,5.928
2025-03-12 10:14:16.461200,-0.013,-0.017,0.694,-0.343,-0.443,5.806
2025-03-12 10:14:16.512798,-0.009,-0.009,0.711,-0.443,-0.473,5.798
2025-03-12 10:14:16.564823,-0.023,-0.015,0.694,-0.565,-0.679,5.890
2025-03-12 10:14:16.616818,-0.015,-0.008,0.696,-0.511,-0.565,5.882
2025-03-12 10:14:16.669225,-0.015,-0.016,0.700,-0.542,-0.534,5.798
2025-03-12 10:14:16.721842,-0.023,-0.018,0.703,-0.412,-0.473,5.615
2025-03-12 10:14:16.773796,-0.015,-0.012,0.699,-0.610,-0.519,5.776
2025-03-12 10:14:16.825894,-0.022,-0.016,0.701,-0.473,-0.473,5.829
2025-03-12 10:14:16.877921,-0.016,-0.013,0.695,-0.511,-0.549,5.867
2025-03-12 10:14:16.929803,-0.009,-0.010,0.696,-0.687,-0.526,5.737
2025-03-12 10:14:16.982324,-0.000,-0.011,0.694,-0.450,-0.702,5.730
