epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13545.1,2.5924,3.53267,3.14244,0.56856,0.55847,0.64322,0.27158,2.01455,1.81531,2.4586,0.000555029,0.000555029,0.000555029
2,25924.4,1.74488,1.39078,2.11632,0.88037,0.8709,0.95155,0.53489,1.4971,1.02018,1.84931,0.00100074,0.00100074,0.00100074
3,15911.7,1.40644,0.90463,1.72227,0.90792,0.86986,0.94525,0.58493,1.32678,0.96255,1.69936,0.00133642,0.00133642,0.00133642
4,28345.8,1.20803,0.71451,1.51541,0.9686,0.97729,0.98704,0.72957,0.98564,0.59318,1.37038,0.0011719,0.0011719,0.0011719
5,40314.2,1.09014,0.61444,1.40243,0.97764,0.98359,0.98722,0.74338,0.94373,0.52291,1.28474,0.00100687,0.00100687,0.00100687
6,11521.3,1.00643,0.55546,1.33006,0.97826,0.98882,0.9911,0.78764,0.8594,0.47861,1.21275,0.000841835,0.000841835,0.000841835
7,18915.2,0.92787,0.50389,1.26088,0.98276,0.98992,0.99246,0.79944,0.80371,0.44745,1.17903,0.000676802,0.000676802,0.000676802
8,26328.9,0.87541,0.47227,1.21994,0.98971,0.98654,0.99304,0.80925,0.773,0.4237,1.14269,0.000511769,0.000511769,0.000511769
9,33691.8,0.84689,0.44341,1.19328,0.98615,0.99068,0.9924,0.82089,0.75157,0.40767,1.12664,0.000346736,0.000346736,0.000346736
10,41103.2,0.80747,0.4183,1.16298,0.98381,0.99108,0.9937,0.83581,0.70705,0.37771,1.09517,0.000181703,0.000181703,0.000181703
