timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3,-0.127563,-0.013486,0.873745,-2.841157,-0.433518,0.472686
8,-0.136105,-0.014462,0.878383,-2.719010,-0.891567,0.243662
13,-0.129759,-0.004456,0.889853,-2.657937,-1.380153,0.289467
18,-0.124390,-0.010557,0.858370,-2.764815,-1.945080,0.228394
23,-0.132444,-0.017879,0.880335,-2.764815,-0.922104,0.365808
28,-0.124878,-0.015926,0.864715,-2.932766,-0.738884,0.396345
33,-0.125610,-0.013730,0.879115,-2.810620,-0.723616,0.335272
38,-0.136593,-0.009337,0.875210,-2.780083,-1.731324,0.258930
43,-0.128295,-0.014462,0.872769,-2.719010,-1.654982,0.610101
48,-0.124878,-0.016659,0.865203,-2.734278,-1.303811,0.564296
53,-0.129271,-0.014462,0.871793,-2.749546,-0.601470,0.274199
58,-0.137325,-0.012265,0.872525,-2.810620,-0.693079,0.396345
63,-0.129759,-0.008117,0.883264,-2.673205,-1.364884,0.396345
68,-0.140742,-0.011289,0.881067,-2.657937,-1.609177,0.365808
73,-0.124146,-0.015926,0.854221,-2.825888,-1.258006,0.472686
78,-0.126098,-0.012998,0.862031,-2.948034,-0.708348,0.304735
83,-0.132932,-0.013974,0.879847,-2.886961,-0.738884,0.197857
88,-0.134640,-0.018367,0.878627,-2.764815,-1.349616,0.350540
93,-0.134396,-0.012265,0.864227,-2.703742,-1.746592,0.258930
98,-0.129271,-0.015926,0.866668,-2.780083,-1.487031,0.365808
103,-0.129759,-0.017391,0.864715,-3.009108,-0.601470,0.258930
108,-0.139033,-0.012998,0.890341,-2.902230,-0.677811,0.396345
114,-0.137813,-0.009337,0.888389,-2.719010,-1.487031,0.350540
119,-0.130979,-0.017635,0.863251,-2.688474,-1.471763,0.426881
125,-0.129027,-0.015926,0.853489,-2.764815,-0.952640,0.335272
130,-0.126830,-0.015682,0.873989,-2.780083,-0.815226,0.365808
136,-0.131223,-0.007628,0.887901,-2.795351,-0.983177,0.228394
141,-0.133664,-0.011045,0.887901,-2.703742,-1.471763,0.396345
147,-0.129759,-0.012265,0.871549,-2.810620,-1.532836,0.365808
152,-0.126098,-0.008849,0.864715,-2.902230,-1.028982,0.381077
157,-0.128539,-0.012998,0.872769,-2.780083,-0.983177,0.457418
163,-0.128783,-0.014950,0.877650,-2.673205,-1.105323,0.228394
168,-0.131223,-0.015194,0.880091,-2.841157,-1.258006,0.365808
174,-0.130491,-0.015194,0.875942,-2.719010,-1.258006,0.274199
179,-0.129027,-0.009093,0.866912,-2.810620,-0.861031,0.411613
185,-0.128295,-0.015682,0.867156,-2.795351,-0.922104,0.487955
190,-0.130003,-0.014218,0.879115,-2.642668,-1.074787,0.426881
196,-0.131223,-0.012998,0.871549,-2.688474,-1.181665,0.426881
201,-0.129271,-0.007140,0.872525,-2.749546,-0.937372,0.289467
207,-0.132444,-0.010069,0.868864,-2.780083,-0.906835,0.457418
212,-0.129271,-0.016659,0.873745,-2.795351,-1.135860,0.487955
218,-0.130491,-0.021296,0.871793,-2.780083,-1.212201,0.274199
223,-0.131956,-0.016903,0.869596,-2.886961,-1.212201,0.487955
228,-0.135128,-0.013974,0.876674,-2.795351,-1.120592,0.396345
234,-0.132444,-0.012021,0.868864,-2.749546,-1.105323,0.335272
239,-0.133420,-0.007628,0.866912,-2.688474,-1.151128,0.182589
245,-0.139766,-0.009825,0.867156,-2.795351,-0.937372,0.411613
250,-0.132932,-0.012265,0.877650,-2.780083,-0.830494,0.320003
256,-0.127319,-0.021052,0.875698,-2.612132,-1.120592,0.228394
261,-0.127319,-0.017879,0.866912,-2.673205,-1.090055,0.381077
267,-0.128539,-0.021296,0.860078,-2.688474,-0.891567,0.442150
272,-0.129515,-0.015926,0.872769,-2.749546,-0.906835,0.350540
278,-0.134152,-0.007628,0.882776,-2.780083,-1.074787,0.549028
283,-0.139033,-0.009825,0.877406,-2.749546,-1.120592,0.518491
289,-0.134640,-0.007384,0.868864,-2.719010,-1.212201,0.381077
294,-0.131223,-0.011289,0.873989,-2.673205,-1.105323,0.350540
300,-0.128539,-0.017879,0.867156,-2.749546,-0.998445,0.304735
305,-0.128051,-0.022760,0.866180,-2.764815,-1.166397,0.258930
310,-0.123902,-0.016170,0.876186,-2.871693,-1.151128,0.472686
316,-0.127563,-0.011533,0.875942,-2.657937,-1.212201,0.533760
321,-0.133908,-0.007140,0.865203,-2.749546,-1.166397,0.442150
327,-0.132688,-0.005188,0.867644,-2.749546,-1.074787,0.258930
332,-0.129027,-0.003479,0.866180,-2.810620,-1.196933,0.228394
338,-0.128051,-0.013242,0.873989,-2.719010,-1.090055,0.457418
343,-0.130735,-0.012510,0.869596,-2.810620,-1.120592,0.472686
349,-0.132932,-0.018123,0.877894,-2.810620,-1.303811,0.335272
354,-0.131956,-0.018855,0.873745,-2.749546,-1.151128,0.335272
360,-0.128539,-0.014950,0.873013,-2.688474,-1.135860,0.320003
365,-0.131712,-0.014950,0.873501,-2.749546,-1.059519,0.518491
371,-0.134396,-0.013242,0.875454,-2.764815,-1.151128,0.335272
376,-0.129271,-0.014462,0.861299,-2.719010,-1.090055,0.182589
381,-0.125122,-0.013486,0.877406,-2.734278,-1.090055,0.426881
387,-0.133664,-0.015438,0.872525,-2.673205,-1.166397,0.320003
392,-0.131468,-0.009581,0.867156,-2.764815,-1.166397,0.442150
398,-0.127319,-0.009825,0.868132,-2.764815,-0.983177,0.487955
403,-0.131468,-0.015438,0.875698,-2.780083,-1.105323,0.289467
409,-0.131468,-0.010313,0.865447,-2.719010,-1.074787,0.335272
414,-0.138301,-0.009825,0.868864,-2.749546,-1.166397,0.167320
420,-0.130003,-0.010557,0.868620,-2.657937,-1.074787,0.396345
