timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-03-12 10:08:50.441889,-0.117,-0.042,0.699,-0.618,-0.587,5.943
2025-03-12 10:08:50.493956,-0.123,-0.040,0.699,-0.473,-0.633,5.776
2025-03-12 10:08:50.546013,-0.130,-0.032,0.701,-0.572,-0.481,5.707
2025-03-12 10:08:50.598180,-0.118,-0.042,0.687,-0.526,-0.420,5.806
2025-03-12 10:08:50.650984,-0.128,-0.038,0.703,-0.664,-0.420,5.859
2025-03-12 10:08:50.702331,-0.126,-0.040,0.702,-0.534,-0.687,5.608
2025-03-12 10:08:50.753707,-0.119,-0.027,0.704,-0.435,-0.458,5.852
2025-03-12 10:08:50.805890,-0.126,-0.039,0.701,-0.603,-0.557,5.966
2025-03-12 10:08:50.858683,-0.123,-0.039,0.700,-0.504,-0.404,6.027
2025-03-12 10:08:50.911112,-0.126,-0.044,0.706,-0.618,-0.504,5.737
2025-03-12 10:08:50.963012,-0.125,-0.039,0.698,-0.587,-0.504,5.776
2025-03-12 10:08:51.014876,-0.130,-0.039,0.697,-0.488,-0.511,5.852
2025-03-12 10:08:51.067360,-0.115,-0.035,0.703,-0.305,-0.649,5.699
2025-03-12 10:08:51.118910,-0.130,-0.034,0.699,-0.481,-0.633,5.638
2025-03-12 10:08:51.170916,-0.122,-0.028,0.698,-0.587,-0.412,5.852
2025-03-12 10:08:51.223234,-0.118,-0.034,0.701,-0.488,-0.458,5.814
2025-03-12 10:08:51.275845,-0.124,-0.038,0.695,-0.626,-0.519,5.798
2025-03-12 10:08:51.327989,-0.120,-0.031,0.703,-0.488,-0.587,5.653
2025-03-12 10:08:51.379918,-0.123,-0.035,0.694,-0.565,-0.374,5.882
2025-03-12 10:08:51.430889,-0.123,-0.034,0.698,-0.572,-0.618,5.859
2025-03-12 10:08:51.484162,-0.120,-0.039,0.704,-0.488,-0.381,5.646
2025-03-12 10:08:51.537135,-0.113,-0.040,0.697,-0.549,-0.610,5.776
2025-03-12 10:08:51.588557,-0.131,-0.041,0.710,-0.450,-0.526,5.692
2025-03-12 10:08:51.640297,-0.110,-0.032,0.708,-0.565,-0.526,5.722
2025-03-12 10:08:51.692682,-0.134,-0.031,0.700,-0.389,-0.595,5.707
2025-03-12 10:08:51.744309,-0.112,-0.035,0.702,-0.420,-0.603,5.692
2025-03-12 10:08:51.796369,-0.125,-0.031,0.700,-0.587,-0.732,5.715
2025-03-12 10:08:51.848834,-0.120,-0.036,0.697,-0.557,-0.618,5.753
2025-03-12 10:08:51.900449,-0.120,-0.033,0.697,-0.603,-0.481,5.745
2025-03-12 10:08:51.952100,-0.112,-0.032,0.711,-0.610,-0.496,5.890
2025-03-12 10:08:52.004998,-0.133,-0.036,0.695,-0.504,-0.679,5.753
2025-03-12 10:08:52.056881,-0.130,-0.041,0.701,-0.488,-0.587,5.852
2025-03-12 10:08:52.109118,-0.113,-0.030,0.702,-0.580,-0.336,5.615
2025-03-12 10:08:52.161197,-0.126,-0.038,0.700,-0.465,-0.633,5.707
2025-03-12 10:08:52.213780,-0.123,-0.031,0.702,-0.504,-0.511,5.859
2025-03-12 10:08:52.265914,-0.129,-0.037,0.699,-0.488,-0.595,5.837
2025-03-12 10:08:52.318238,-0.123,-0.041,0.704,-0.458,-0.572,5.661
2025-03-12 10:08:52.370999,-0.126,-0.033,0.700,-0.420,-0.511,5.623
2025-03-12 10:08:52.422968,-0.120,-0.040,0.705,-0.587,-0.649,5.837
2025-03-12 10:08:52.476353,-0.124,-0.037,0.696,-0.557,-0.511,5.814
2025-03-12 10:08:52.528322,-0.110,-0.034,0.701,-0.519,-0.519,5.776
2025-03-12 10:08:52.579902,-0.117,-0.029,0.707,-0.565,-0.565,5.745
2025-03-12 10:08:52.632158,-0.123,-0.039,0.693,-0.473,-0.519,5.959
2025-03-12 10:08:52.684948,-0.122,-0.028,0.700,-0.504,-0.412,5.692
2025-03-12 10:08:52.737348,-0.125,-0.038,0.697,-0.526,-0.496,5.859
2025-03-12 10:08:52.789049,-0.126,-0.036,0.706,-0.557,-0.496,5.966
2025-03-12 10:08:52.840868,-0.117,-0.034,0.703,-0.343,-0.641,5.898
2025-03-12 10:08:52.892488,-0.117,-0.037,0.697,-0.610,-0.702,5.684
2025-03-12 10:08:52.944955,-0.127,-0.040,0.705,-0.565,-0.404,5.715
2025-03-12 10:08:52.997513,-0.110,-0.033,0.706,-0.511,-0.221,5.745
2025-03-12 10:08:53.048997,-0.128,-0.038,0.709,-0.443,-0.610,5.776
2025-03-12 10:08:53.101983,-0.117,-0.034,0.698,-0.526,-0.610,5.867
2025-03-12 10:08:53.155013,-0.124,-0.037,0.702,-0.534,-0.710,5.699
2025-03-12 10:08:53.206204,-0.119,-0.030,0.698,-0.557,-0.549,5.730
2025-03-12 10:08:53.259075,-0.128,-0.039,0.702,-0.511,-0.549,5.699
2025-03-12 10:08:53.309888,-0.113,-0.031,0.694,-0.732,-0.618,5.852
2025-03-12 10:08:53.362470,-0.128,-0.030,0.690,-0.496,-0.710,5.707
2025-03-12 10:08:53.413882,-0.127,-0.038,0.704,-0.443,-0.656,5.798
2025-03-12 10:08:53.466920,-0.114,-0.029,0.702,-0.519,-0.587,5.798
2025-03-12 10:08:53.518587,-0.124,-0.041,0.701,-0.542,-0.519,5.829
2025-03-12 10:08:53.571897,-0.117,-0.036,0.697,-0.519,-0.542,5.638
2025-03-12 10:08:53.622418,-0.129,-0.032,0.699,-0.381,-0.511,5.760
2025-03-12 10:08:53.675024,-0.120,-0.031,0.695,-0.488,-0.542,5.859
2025-03-12 10:08:53.726942,-0.132,-0.035,0.707,-0.587,-0.443,5.875
2025-03-12 10:08:53.778267,-0.113,-0.030,0.695,-0.664,-0.580,5.798
2025-03-12 10:08:53.830664,-0.117,-0.039,0.697,-0.458,-0.618,5.760
2025-03-12 10:08:53.883350,-0.132,-0.038,0.693,-0.511,-0.626,5.699
2025-03-12 10:08:53.934661,-0.123,-0.035,0.696,-0.336,-0.587,5.821
2025-03-12 10:08:53.987064,-0.122,-0.029,0.699,-0.443,-0.496,5.737
2025-03-12 10:08:54.039051,-0.119,-0.037,0.698,-0.435,-0.519,5.791
2025-03-12 10:08:54.091992,-0.120,-0.033,0.700,-0.427,-0.412,5.737
2025-03-12 10:08:54.144054,-0.123,-0.039,0.700,-0.481,-0.519,5.875
2025-03-12 10:08:54.197431,-0.114,-0.034,0.703,-0.633,-0.587,6.027
2025-03-12 10:08:54.249060,-0.129,-0.037,0.700,-0.565,-0.725,5.692
2025-03-12 10:08:54.301106,-0.113,-0.031,0.707,-0.549,-0.809,5.829
2025-03-12 10:08:54.353069,-0.125,-0.040,0.704,-0.603,-0.412,5.928
2025-03-12 10:08:54.405185,-0.116,-0.033,0.700,-0.282,-0.649,5.821
2025-03-12 10:08:54.457130,-0.124,-0.034,0.695,-0.526,-0.671,5.859
2025-03-12 10:08:54.509575,-0.119,-0.038,0.699,-0.443,-0.427,5.989
2025-03-12 10:08:54.561820,-0.125,-0.036,0.707,-0.656,-0.511,5.791
2025-03-12 10:08:54.614922,-0.122,-0.031,0.704,-0.488,-0.855,5.837
2025-03-12 10:08:54.666650,-0.129,-0.034,0.701,-0.496,-0.534,5.890
2025-03-12 10:08:54.718406,-0.121,-0.034,0.699,-0.519,-0.488,5.890
2025-03-12 10:08:54.770253,-0.116,-0.032,0.701,-0.488,-0.488,5.882
2025-03-12 10:08:54.821443,-0.125,-0.041,0.696,-0.595,-0.488,5.852
2025-03-12 10:08:54.873935,-0.121,-0.030,0.704,-0.534,-0.473,5.821
2025-03-12 10:08:54.926026,-0.125,-0.034,0.702,-0.633,-0.504,5.791
2025-03-12 10:08:54.978098,-0.121,-0.035,0.704,-0.526,-0.465,5.798
2025-03-12 10:08:55.030680,-0.123,-0.033,0.703,-0.626,-0.542,5.829
2025-03-12 10:08:55.082994,-0.119,-0.035,0.706,-0.618,-0.641,5.676
2025-03-12 10:08:55.135246,-0.126,-0.038,0.707,-0.633,-0.687,5.814
2025-03-12 10:08:55.186383,-0.112,-0.037,0.713,-0.443,-0.633,5.837
2025-03-12 10:08:55.237979,-0.129,-0.037,0.697,-0.565,-0.565,5.913
2025-03-12 10:08:55.290419,-0.126,-0.040,0.695,-0.511,-0.641,5.837
2025-03-12 10:08:55.342036,-0.123,-0.034,0.696,-0.549,-0.534,5.798
2025-03-12 10:08:55.394689,-0.121,-0.033,0.692,-0.557,-0.580,5.867
2025-03-12 10:08:55.447526,-0.123,-0.034,0.705,-0.427,-0.458,5.798
2025-03-12 10:08:55.500052,-0.120,-0.033,0.695,-0.435,-0.542,5.867
2025-03-12 10:08:55.552921,-0.122,-0.035,0.703,-0.504,-0.732,5.875
2025-03-12 10:08:55.603684,-0.132,-0.040,0.703,-0.473,-0.572,5.791
2025-03-12 10:08:55.656929,-0.122,-0.033,0.706,-0.595,-0.450,5.692
2025-03-12 10:08:55.708933,-0.130,-0.035,0.707,-0.679,-0.481,5.921
2025-03-12 10:08:55.760591,-0.119,-0.034,0.697,-0.618,-0.565,5.776
2025-03-12 10:08:55.812980,-0.118,-0.034,0.702,-0.473,-0.557,5.852
2025-03-12 10:08:55.864995,-0.121,-0.033,0.702,-0.511,-0.313,5.722
2025-03-12 10:08:55.918022,-0.123,-0.033,0.696,-0.267,0.443,6.035
2025-03-12 10:08:55.970158,-0.109,-0.035,0.693,-0.229,-0.153,6.119
2025-03-12 10:08:56.022304,-0.131,-0.036,0.697,-0.313,-0.031,6.058
2025-03-12 10:08:56.074809,-0.114,-0.036,0.699,-0.259,-0.031,5.936
2025-03-12 10:08:56.126336,-0.111,-0.030,0.707,-0.320,-0.282,5.997
2025-03-12 10:08:56.178392,-0.132,-0.040,0.701,-0.336,0.000,6.027
2025-03-12 10:08:56.232143,-0.127,-0.032,0.700,-0.420,-0.305,5.791
2025-03-12 10:08:56.283022,-0.131,-0.042,0.705,-0.328,-0.580,5.753
2025-03-12 10:08:56.335936,-0.130,-0.034,0.696,-0.656,-0.824,5.745
2025-03-12 10:08:56.389565,-0.130,-0.035,0.698,-0.603,-0.771,5.653
2025-03-12 10:08:56.441804,-0.118,-0.033,0.697,-0.504,-0.710,5.669
2025-03-12 10:08:56.492438,-0.132,-0.036,0.710,-0.389,-0.526,5.661
2025-03-12 10:08:56.544065,-0.114,-0.032,0.704,-0.580,-0.595,5.707
2025-03-12 10:08:56.596971,-0.126,-0.038,0.696,-0.580,-0.412,5.722
2025-03-12 10:08:56.649169,-0.130,-0.034,0.700,-0.565,-0.618,5.776
2025-03-12 10:08:56.700369,-0.142,-0.030,0.698,-0.664,-0.336,5.669
2025-03-12 10:08:56.752449,-0.113,-0.040,0.700,-0.679,-1.091,5.676
2025-03-12 10:08:56.805009,-0.122,-0.029,0.699,-0.664,-0.816,5.631
2025-03-12 10:08:56.856495,-0.110,-0.031,0.706,-0.610,-0.801,5.821
2025-03-12 10:08:56.908519,-0.111,-0.036,0.709,-0.641,-0.610,5.715
2025-03-12 10:08:56.960637,-0.136,-0.038,0.703,-0.641,-0.885,5.760
2025-03-12 10:08:57.012698,-0.107,-0.027,0.701,-0.641,-1.465,5.615
2025-03-12 10:08:57.065580,-0.124,-0.033,0.694,-0.511,-1.152,5.669
2025-03-12 10:08:57.117469,-0.114,-0.031,0.697,-0.275,0.160,5.882
2025-03-12 10:08:57.169051,-0.118,-0.034,0.688,-0.122,0.847,5.806
2025-03-12 10:08:57.221957,-0.115,-0.036,0.697,0.305,1.823,5.623
2025-03-12 10:08:57.273479,-0.124,-0.038,0.705,0.275,1.144,5.661
2025-03-12 10:08:57.325694,-0.125,-0.033,0.716,0.137,0.565,5.760
2025-03-12 10:08:57.377917,-0.131,-0.037,0.701,-0.801,-1.503,6.020
2025-03-12 10:08:57.430170,-0.123,-0.033,0.701,-0.565,-1.884,5.982
2025-03-12 10:08:57.482273,-0.121,-0.043,0.697,-1.228,-0.412,6.004
2025-03-12 10:08:57.535108,-0.120,-0.042,0.689,-0.618,0.221,6.432
2025-03-12 10:08:57.587116,-0.035,-0.016,0.695,-0.473,0.465,8.614
2025-03-12 10:08:57.639691,-0.099,-0.035,0.680,1.625,-1.793,12.184
2025-03-12 10:08:57.690810,-0.113,-0.027,0.699,1.335,-1.373,13.230
2025-03-12 10:08:57.743007,-0.122,-0.026,0.687,2.121,0.320,13.191
2025-03-12 10:08:57.794253,-0.056,-0.003,0.701,1.808,2.495,16.388
2025-03-12 10:08:57.846967,-0.100,-0.029,0.710,1.549,3.830,20.211
2025-03-12 10:08:57.899452,-0.116,-0.052,0.728,-0.008,3.548,21.439
2025-03-12 10:08:57.952218,-0.136,-0.054,0.716,-2.007,4.387,21.691
2025-03-12 10:08:58.004475,-0.105,-0.051,0.724,-4.410,7.424,22.255
2025-03-12 10:08:58.056970,-0.017,-0.047,0.730,-5.539,-0.183,30.053
2025-03-12 10:08:58.110057,0.006,-0.083,0.701,-7.492,-4.799,41.810
2025-03-12 10:08:58.161900,-0.063,-0.138,0.756,-10.796,0.832,44.930
2025-03-12 10:08:58.214084,-0.063,-0.167,0.728,-15.435,4.257,44.228
2025-03-12 10:08:58.265854,-0.040,-0.121,0.711,-17.380,7.179,43.343
2025-03-12 10:08:58.318405,-0.029,-0.169,0.813,-18.074,3.799,47.234
2025-03-12 10:08:58.370150,0.015,-0.141,0.752,-16.777,-9.354,51.888
2025-03-12 10:08:58.423062,0.005,-0.127,0.717,-14.046,-13.878,52.346
2025-03-12 10:08:58.475969,-0.051,-0.076,0.739,-16.464,-7.675,44.396
2025-03-12 10:08:58.527177,-0.113,-0.054,0.826,-23.980,-5.791,41.978
